;Neighborhood;Total crimes;Crimes against life;Crimes against sexual self-determination;Criminal offence;Simple theft;Aggravated theft;Crimes against property;Total other crimes
1  ;Altstadt-Lehel ;8205;3;93;1115;2604;575;1346;8157
2  ;Ludwigsvorstadt-Isarvorstadt ;14091;6;212;1887;2806;688;1571;12443
3  ;Maxvorstadt ;4799;2;63;727;993;492;587;4659
4  ;Schwabing West ;2310;3;40;281;397;466;334;2305
5  ;Au-Haidhausen ;3531;2;34;406;772;429;789;3469
6  ;Sendling ;1983;2;22;274;270;325;338;1971
7  ;Sendling-Westpark ;2234;-;38;335;297;328;412;2215
8  ;Schwanthalerhöhe ;1703;2;13;275;257;244;243;1638
9  ;Neuhausen-Nymphenburg ;3913;2;51;558;712;813;553;3815
10  ;Moosach ;2796;1;32;414;613;324;568;2771
11  ;Milbertshofen-Am Hart ;3987;-;42;577;779;653;753;3962
12  ;Schwabing-Freimann ;8413;4;78;861;1092;656;1115;5413
13  ;Bogenhausen ;3225;1;43;359;365;679;958;3207
14  ;Berg am Laim ;2322;-;39;453;358;329;488;2303
15  ;Trudering-Riem ;3251;1;49;505;628;522;483;3236
16  ;Ramersdorf-Perlach ;4712;3;74;718;877;721;895;4690
17  ;Obergiesing ;2574;2;39;405;358;265;471;2561
18  ;Untergiesing-Harlaching ;1691;2;21;249;244;237;258;1677
19  ;Thalkirchen-Obersendling- Forstenried-Fürstenried-Solln;3311;2;41;452;567;473;606;3243
20;Hadern ;1556;1;20;233;345;270;212;1544
21;Pasing-Obermenzing ;3103;2;53;467;734;392;472;3019
22;Aubing-Lochhausen-Langwied ;1620;1;21;330;268;230;216;1604
23;Allach-Untermenzing ;1106;2;10;166;161;199;151;1100
24;Feldmoching-Hasenbergl ;2035;-;25;351;344;316;304;2019
25;Laim ;2413;-;28;370;323;322;649;2386